Z:\Research\GameTheory>g++ stablevoting_fast.cpp -Wall && a.exe
stablevoting_fast.cpp: In function 'GraphTemplate build_template_from_clauses(const std::vector<std::vector<std::pair<int, bool> > >&)':
stablevoting_fast.cpp:117:39: warning: structured bindings only available with -std=c++17 or -std=gnu++17
     for (auto& c : clauses) for (auto [v,_] : c) n = max(n, v);
                                       ^
stablevoting_fast.cpp:166:19: warning: structured bindings only available with -std=c++17 or -std=gnu++17
         for (auto [var,pos] : clauses[k]){
                   ^
stablevoting_fast.cpp:178:19: warning: structured bindings only available with -std=c++17 or -std=gnu++17
         for (auto [var,_] : clauses[k]) pres[var-1] = true;
                   ^
Clause: (x1, x2) (x1, ~x2) (~x1, x2) (~x1, ~x2)
Baseline winner: C
Baseline elim order: [F1, X2, X1, T1, L4, L3, L2, F2, L1, T2]

Exhaustively testing 39916800 permutations...
[PROGRESS] perms_done=2594 fails=21314 avg_perm=0.0231s avg_case=0.0017s
[PROGRESS] perms_done=4766 fails=42614 avg_perm=0.0252s avg_case=0.0018s
[PROGRESS] perms_done=7334 fails=63977 avg_perm=0.0246s avg_case=0.0018s
[PROGRESS] perms_done=9556 fails=85498 avg_perm=0.0251s avg_case=0.0018s
[PROGRESS] perms_done=12074 fails=107052 avg_perm=0.0249s avg_case=0.0018s
[PROGRESS] perms_done=14368 fails=129110 avg_perm=0.0251s avg_case=0.0018s
[PROGRESS] perms_done=16844 fails=151342 avg_perm=0.0249s avg_case=0.0018s
[PROGRESS] perms_done=19336 fails=175286 avg_perm=0.0248s avg_case=0.0018s
[PROGRESS] perms_done=21802 fails=198464 avg_perm=0.0248s avg_case=0.0018s
[PROGRESS] perms_done=24281 fails=222450 avg_perm=0.0247s avg_case=0.0018s
[PROGRESS] perms_done=26653 fails=245678 avg_perm=0.0248s avg_case=0.0018s
[PROGRESS] perms_done=29086 fails=269660 avg_perm=0.0248s avg_case=0.0018s
[PROGRESS] perms_done=31367 fails=292470 avg_perm=0.0249s avg_case=0.0018s
[PROGRESS] perms_done=33736 fails=316160 avg_perm=0.0249s avg_case=0.0018s
[PROGRESS] perms_done=36049 fails=339290 avg_perm=0.0250s avg_case=0.0018s
[PROGRESS] perms_done=38307 fails=361870 avg_perm=0.0251s avg_case=0.0018s
[PROGRESS] perms_done=40692 fails=384811 avg_perm=0.0251s avg_case=0.0018s
